name,gender,ratio,females,males,total
Amelia,F,100,107636,110,107746
Addison,F,91,97466,10030,107496
Bailey,F,83,88793,18688,107481
Hayden,M,81,20897,86571,107468
Theodore,M,100,374,106956,107330
Carmen,F,94,100239,6920,107159
Jeff,M,100,243,106915,107158
Alison,F,100,106379,472,106851
Miranda,F,100,106546,183,106729
Jackie,F,61,65326,41204,106530
Spencer,M,97,3036,102867,105903
Ernest,M,99,668,105062,105730
Levi,M,99,678,104632,105310
Sylvia,F,100,104690,401,105091
Aidan,M,98,2559,102121,104680
Jake,M,100,205,104342,104547
Howard,M,100,476,103986,104462
Lydia,F,100,104090,169,104259
Tristan,M,94,6122,98015,104137
Bryce,M,97,2776,101088,103864
Zoe,F,100,101446,419,101865
Peyton,F,58,58567,43191,101758
Brandi,F,100,101206,389,101595
Grant,M,100,197,100692,100889
Darren,M,99,562,99993,100555
Jessie,M,55,45290,55163,100453
Mariah,F,100,99811,182,99993
Gabriella,F,100,99822,60,99882
Maureen,F,100,99359,238,99597
Colton,M,100,158,99165,99323
Vickie,F,100,98958,325,99283
Aubrey,F,86,85563,13706,99269
Katrina,F,100,98393,238,98631
Whitney,F,96,94269,4247,98516
Melvin,M,99,832,96947,97779
Yvonne,F,100,97122,389,97511
Brayden,M,99,927,96518,97445
Kylie,F,100,96903,427,97330
Christy,F,99,96184,955,97139
Sofia,F,100,96921,97,97018
Harry,M,100,444,96534,96978
Kara,F,100,96495,270,96765
Lance,M,100,345,96339,96684
Ivan,M,99,498,96137,96635
Francis,M,91,8745,87412,96157
Jocelyn,F,100,95778,345,96123
Eduardo,M,100,433,95493,95926
Roberto,M,99,652,94765,95417
Makayla,F,100,95097,152,95249
Yolanda,F,99,94203,490,94693
Sally,F,100,94238,235,94473
Tracey,F,91,86059,8380,94439
Bethany,F,100,94232,184,94416
Natasha,F,100,94024,285,94309
Joy,F,99,93313,917,94230
Meghan,F,100,93829,226,94055
Jo,F,99,92962,1006,93968
Clayton,M,100,372,93540,93912
Eva,F,100,93560,269,93829
Sierra,F,100,93505,269,93774
Diego,M,100,195,93499,93694
Parker,M,89,10357,83150,93507
Ana,F,99,92319,579,92898
Jerome,M,99,633,91973,92606
Reginald,M,99,729,91693,92422
Alexandria,F,100,91990,214,92204
Ruby,F,99,91129,709,91838
Kendra,F,100,91486,349,91835
Kerry,F,51,46914,44733,91647
Hector,M,99,476,91018,91494
Claudia,F,99,90569,495,91064
Ruben,M,99,563,90484,91047
Briana,F,100,90621,201,90822
Javier,M,99,488,89978,90466
Phyllis,F,100,89806,193,89999
Carson,M,93,6059,83868,89927
Max,M,100,334,89430,89764
Micah,M,88,10992,78457,89449
Johnathan,M,100,349,89049,89398
Preston,M,99,542,87455,87997
Tanner,M,98,1981,85941,87922
Toni,F,99,86595,1283,87878
Omar,M,100,435,87099,87534
Devon,M,78,19539,67752,87291
Fernando,M,99,578,85962,86540
Brendan,M,100,325,86192,86517
Felicia,F,100,86129,279,86408
Angelica,F,100,86061,321,86382
Naomi,F,100,86264,117,86381
Angelina,F,100,86293,80,86373
Joanna,F,100,85980,306,86286
Eli,M,99,628,85108,85736
Edgar,M,100,408,85104,85512
Charlene,F,100,85096,258,85354
Eileen,F,100,84701,161,84862
Misty,F,100,84210,237,84447
Darryl,M,99,954,83446,84400
Shelly,F,99,83093,1141,84234
Jody,F,64,54035,30189,84224
Melody,F,100,83824,164,83988
Bridget,F,100,83593,149,83742
Karla,F,100,82803,309,83112
Ariana,F,100,82786,168,82954
Adriana,F,100,82474,399,82873
Vivian,F,99,82126,511,82637
Kendall,F,64,52614,29887,82501
Ray,M,99,1156,80982,82138
Brittney,F,100,81538,265,81803
Penny,F,100,81411,275,81686
Isabel,F,99,80836,836,81672
Brad,M,100,233,81091,81324
Sherri,F,100,81103,176,81279
Jenny,F,99,80778,415,81193
Brooklyn,F,99,79995,1158,81153
Desiree,F,100,80603,198,80801
Brady,M,98,1583,79054,80637
Jaden,M,84,13093,67168,80261
Fred,M,100,376,79716,80092
Breanna,F,100,79998,65,80063
Jodi,F,99,79011,906,79917
Rosa,F,99,79283,575,79858
Kurt,M,100,196,79609,79805
Kristine,F,100,79406,185,79591
Maya,F,100,79277,152,79429
Jillian,F,100,79199,227,79426
Norman,M,99,522,78443,78965
Maurice,M,99,956,77941,78897
Earl,M,99,533,78161,78694
Josiah,M,100,317,78377,78694
Monique,F,100,77623,377,78000
Rachael,F,100,77808,181,77989
Jade,F,93,72632,5249,77881
Jeanette,F,100,77513,278,77791
Clifford,M,99,476,77299,77775
Candace,F,100,76983,153,77136
Marcia,F,100,76978,150,77128
Nicolas,M,100,169,76942,77111
Becky,F,100,76950,139,77089
Priscilla,F,100,76887,182,77069
Ariel,F,79,60787,15871,76658
Arianna,F,100,76418,65,76483
Oliver,M,100,219,76246,76465
Ashton,M,76,18026,58114,76140
Maxwell,M,100,202,75698,75900
Drew,M,92,6298,69574,75872
Kristi,F,100,75636,138,75774
Lucy,F,100,75498,106,75604
Alfred,M,99,456,75138,75594
Joann,F,100,75126,276,75402
Norma,F,99,74665,490,75155
Warren,M,100,341,74770,75111
Rick,M,100,130,74880,75010
Kelli,F,100,74547,300,74847
Gabriela,F,100,74266,370,74636
Jeanne,F,100,74385,138,74523
Nina,F,100,74312,151,74463
Marsha,F,100,73633,190,73823
Andy,M,99,815,72919,73734
Krystal,F,100,73500,190,73690
Clarence,M,99,552,73065,73617
Andres,M,99,433,73109,73542
Gwendolyn,F,100,72871,180,73051
Daisy,F,100,72711,334,73045
Krista,F,100,72775,148,72923
Roberta,F,100,72491,336,72827
Tyrone,M,99,703,72109,72812
Dalton,M,100,363,72272,72635
Damian,M,100,321,72292,72613
Hope,F,100,72263,181,72444
Greg,M,100,143,72049,72192
Tim,M,100,181,71946,72127
Trinity,F,96,69264,2677,71941
Summer,F,100,71625,211,71836
Doris,F,99,71424,404,71828
Collin,M,99,418,71318,71736
Pedro,M,99,406,71309,71715
Sergio,M,100,356,71056,71412
Dominique,F,70,49654,21657,71311
Shaun,M,96,3071,68201,71272
Raul,M,99,419,70822,71241
Irene,F,100,70914,246,71160
Lorraine,F,100,70957,163,71120
Jim,M,100,177,70847,71024
Duane,M,99,390,70322,70712
Nolan,M,100,227,70479,70706
Karl,M,99,810,69650,70460
Shelley,F,99,69468,896,70364
Rebekah,F,100,70110,119,70229
Don,M,99,454,69771,70225
Neil,M,100,256,69933,70189
Kristy,F,100,69818,179,69997
Aaliyah,F,100,69833,84,69917
Esther,F,100,69608,199,69807
Charlie,M,83,11543,58107,69650
Dwayne,M,99,452,69171,69623
Bianca,F,100,69105,195,69300
